taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/KX148213	Und.	Cosmopolitan	AM1	KX148213	KX148213/Cosmopolitan/AM1/Und.}
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/KX148214	Canis familiaris	Cosmopolitan	AM3a	KX148214	KX148214/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/KX148215	Canis familiaris	Cosmopolitan	AM3a	KX148215	KX148215/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148216	Canis familiaris	Cosmopolitan	AM3a	KX148216	KX148216/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/KX148216	Canis familiaris	Cosmopolitan	AM3a	KX148216	KX148216/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/KX148217	Canis familiaris	Cosmopolitan	AM3b	KX148217	KX148217/Cosmopolitan/AM3b/Canis familiaris}
alignment/AL_Cosmopolitan_AM3b/member/ncbi-refseqs/KX148217	Canis familiaris	Cosmopolitan	AM3b	KX148217	KX148217/Cosmopolitan/AM3b/Canis familiaris}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148218	Felis silvestris	Africa-3	-	KX148218	KX148218/Africa-3/-/Felis silvestris}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148219	Mellivora capensis	Africa-3	-	KX148219	KX148219/Africa-3/-/Mellivora capensis}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148220	Cynictis penicillata	Africa-3	-	KX148220	KX148220/Africa-3/-/Cynictis penicillata}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148221	Und.	Africa-3	-	KX148221	KX148221/Africa-3/-/Und.}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148222	Xerus Inauris	Africa-3	-	KX148222	KX148222/Africa-3/-/Xerus Inauris}
alignment/AL_Africa-3/member/ncbi-refseqs/KX148223	Und.	Africa-3	-	KX148223	KX148223/Africa-3/-/Und.}
alignment/AL_MASTER/member/ncbi-refseqs/KX148223	Und.	Africa-3	-	KX148223	KX148223/Africa-3/-/Und.}
alignment/AL_Arctic_A/member/ncbi-refseqs/KX148224	Mephitis mephitis	Arctic	A	KX148224	KX148224/Arctic/A/Mephitis mephitis}
alignment/AL_Arctic/member/ncbi-refseqs/KX148225	Canis familiaris	Arctic	AL1b	KX148225	KX148225/Arctic/AL1b/Canis familiaris}
alignment/AL_Arctic_AL1b/member/ncbi-refseqs/KX148225	Canis familiaris	Arctic	AL1b	KX148225	KX148225/Arctic/AL1b/Canis familiaris}
alignment/AL_Arctic_AL1b/member/ncbi-refseqs/KX148226	Canis familiaris	Arctic	AL1b	KX148226	KX148226/Arctic/AL1b/Canis familiaris}
alignment/AL_Arctic_AL1b/member/ncbi-refseqs/KX148227	Canis familiaris	Arctic	AL1b	KX148227	KX148227/Arctic/AL1b/Canis familiaris}
alignment/AL_Arctic/member/ncbi-refseqs/KX148228	Canis familiaris	Arctic	AL3	KX148228	KX148228/Arctic/AL3/Canis familiaris}
alignment/AL_Arctic_AL3/member/ncbi-refseqs/KX148228	Canis familiaris	Arctic	AL3	KX148228	KX148228/Arctic/AL3/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148229	Canis familiaris	Africa-2	-	KX148229	KX148229/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148230	Canis familiaris	Africa-2	-	KX148230	KX148230/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148231	Canis familiaris	Africa-2	-	KX148231	KX148231/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148232	Canis familiaris	Africa-2	-	KX148232	KX148232/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148233	Canis familiaris	Africa-2	-	KX148233	KX148233/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148234	Canis familiaris	Africa-2	-	KX148234	KX148234/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148235	Canis familiaris	Africa-2	-	KX148235	KX148235/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148236	Canis familiaris	Africa-2	-	KX148236	KX148236/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148237	Canis familiaris	Africa-2	-	KX148237	KX148237/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148238	Canis familiaris	Africa-2	-	KX148238	KX148238/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148239	Canis familiaris	Africa-2	-	KX148239	KX148239/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148240	Canis familiaris	Africa-2	-	KX148240	KX148240/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148241	Canis familiaris	Africa-2	-	KX148241	KX148241/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148242	Canis familiaris	Africa-2	-	KX148242	KX148242/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148243	Canis familiaris	Africa-2	-	KX148243	KX148243/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/KX148244	Canis familiaris	Africa-2	-	KX148244	KX148244/Africa-2/-/Canis familiaris}
alignment/AL_Indian-Sub/member/ncbi-refseqs/KX148245	Und.	Indian-Sub	-	KX148245	KX148245/Indian-Sub/-/Und.}
alignment/AL_Indian-Sub/member/ncbi-refseqs/KX148246	Homo sapiens	Indian-Sub	-	KX148246	KX148246/Indian-Sub/-/Homo sapiens}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148247	Canis familiaris	Asian	SEA3	KX148247	KX148247/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148248	Canis familiaris	Asian	SEA3	KX148248	KX148248/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148249	Canis familiaris	Asian	SEA3	KX148249	KX148249/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148250	Canis familiaris	Asian	SEA3	KX148250	KX148250/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148251	Canis familiaris	Asian	SEA3	KX148251	KX148251/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148252	Canis familiaris	Asian	SEA3	KX148252	KX148252/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148253	Canis familiaris	Asian	SEA3	KX148253	KX148253/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148254	Canis familiaris	Asian	SEA3	KX148254	KX148254/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148255	Canis familiaris	Asian	SEA3	KX148255	KX148255/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148256	Canis familiaris	Asian	SEA3	KX148256	KX148256/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148257	Canis familiaris	Asian	SEA3	KX148257	KX148257/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/KX148258	Canis familiaris	Asian	SEA3	KX148258	KX148258/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/KX148259	Canis familiaris	Asian	SEA4	KX148259	KX148259/Asian/SEA4/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/KX148260	Canis familiaris	Asian	SEA4	KX148260	KX148260/Asian/SEA4/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/KX148261	Canis familiaris	Asian	SEA4	KX148261	KX148261/Asian/SEA4/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/KX148262	Canis familiaris	Asian	SEA4	KX148262	KX148262/Asian/SEA4/Canis familiaris}
alignment/AL_Asian/member/ncbi-refseqs/KX148263	Canis familiaris	Asian	SEA4	KX148263	KX148263/Asian/SEA4/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/KX148263	Canis familiaris	Asian	SEA4	KX148263	KX148263/Asian/SEA4/Canis familiaris}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/KX148264	Canis familiaris	Asian	SEA2a	KX148264	KX148264/Asian/SEA2a/Canis familiaris}
alignment/AL_Asian/member/ncbi-refseqs/KX148265	Canis familiaris	Asian	SEA1b	KX148265	KX148265/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KX148265	Canis familiaris	Asian	SEA1b	KX148265	KX148265/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KX148266	Canis familiaris	Asian	SEA1b	KX148266	KX148266/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1a/member/ncbi-refseqs/KX148267	Homo sapiens	Asian	SEA1a	KX148267	KX148267/Asian/SEA1a/Homo sapiens}
alignment/AL_Bats_DR/member/ncbi-refseqs/KX148268	Canis familiaris	Bats	DR	KX148268	KX148268/Bats/DR/Canis familiaris}
alignment/AL_Bats_TB/member/ncbi-refseqs/KX148269	Tadarida brasiliensis	Bats	TB	KX148269	KX148269/Bats/TB/Tadarida brasiliensis}
alignment/AL_Cosmopolitan_Vac/member/ncbi-refseqs/M31046	Vaccine strain	Cosmopolitan	Vac	M31046	M31046/Cosmopolitan/Vac/Vaccine strain}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/NC_001542	Vaccine strain	Cosmopolitan	Vac	NC_001542	NC_001542/Cosmopolitan/Vac/Vaccine strain}
alignment/AL_Cosmopolitan_Vac/member/ncbi-refseqs/NC_001542	Vaccine strain	Cosmopolitan	Vac	NC_001542	NC_001542/Cosmopolitan/Vac/Vaccine strain}
alignment/AL_MASTER/member/ncbi-refseqs/NC_001542	Vaccine strain	Cosmopolitan	Vac	NC_001542	NC_001542/Cosmopolitan/Vac/Vaccine strain}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/U22480	Vulpes vulpes	Cosmopolitan	ME1a	U22480	U22480/Cosmopolitan/ME1a/Vulpes vulpes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/U22481	Vulpes vulpes	Cosmopolitan	ME1a	U22481	U22481/Cosmopolitan/ME1a/Vulpes vulpes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/U22483	Canis lupus	Cosmopolitan	ME1a	U22483	U22483/Cosmopolitan/ME1a/Canis lupus}
alignment/AL_Africa-2/member/ncbi-refseqs/U22487	Canis familiaris	Africa-2	-	U22487	U22487/Africa-2/-/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/U22488	Homo sapiens	Cosmopolitan	AF1b	U22488	U22488/Cosmopolitan/AF1b/Homo sapiens}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/U22637	Crocuta crocuta	Cosmopolitan	AF1a	U22637	U22637/Cosmopolitan/AF1a/Crocuta crocuta}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/U22648	Canis familiaris	Cosmopolitan	AF1b	U22648	U22648/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/U42703	Vulpes vulpes	Cosmopolitan	Cosmopolitan	U42703	U42703/Cosmopolitan/Cosmopolitan/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/U42706	Vulpes vulpes	Cosmopolitan	WE	U42706	U42706/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/U43432	Nyctereutes procyonoides	Cosmopolitan	NEE	U43432	U43432/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Bats_LN/member/ncbi-refseqs/U52946	Homo sapiens	Bats	LN	U52946	U52946/Bats/LN/Homo sapiens}
alignment/AL_MASTER/member/ncbi-refseqs-outgroup/NC_006429	-	-	-	NC_006429	NC_006429/-/-/-}
